,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alpaca,Altre_fibre,Carta,Cashmere,Cotone,Cuoio,Elastan,Fibra_metallizzata,Lana,Lino,Lyocell,Modacrilico,Modal,Pelo_di_yak,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Coppie
2835,0,top,Magliette e Top,H&M,top con colletto,19.99,Null,"Poliestere 99%, Elastan 1%",Nero,2237,https://www2.hm.com/it_it/productpage.1109933001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2836,0,top,Magliette e Top,H&M,top con colletto,19.99,Null,"Poliestere 99%, Elastan 1%",Verde,2237,https://www2.hm.com/it_it/productpage.1109933001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2837,0,top,Magliette e Top,H&M,top asimmetrico,17.99,Null,"Cotone 95%, Elastan 5%",Rosso,2241,https://www2.hm.com/it_it/productpage.1106884002.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2838,0,top,Magliette e Top,H&M,top asimmetrico,17.99,10.99,"Cotone 95%, Elastan 5%",Nero,2241,https://www2.hm.com/it_it/productpage.1106884002.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2839,0,top,Magliette e Top,H&M,top in mesh,12.99,5.99,"Poliestere 95%, Elastan 5%",Viola,2242,https://www2.hm.com/it_it/productpage.1050537001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2840,0,top,Magliette e Top,H&M,maglia corta con lacci da annodare,24.99,5.99,"Poliestere 93%, Elastan 7%",Beige,2246,https://www2.hm.com/it_it/productpage.1071497002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2841,0,top,Magliette e Top,H&M,top monospalla con cut-out,17.99,Null,"Poliestere 90%, Elastan 10%",Viola,2251,https://www2.hm.com/it_it/productpage.1112676001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2842,0,top,Magliette e Top,H&M,top monospalla con cut-out,17.99,Null,"Poliestere 90%, Elastan 10%",Nero,2251,https://www2.hm.com/it_it/productpage.1112676001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2843,0,top,Magliette e Top,H&M,top a spalle scoperte,24.99,Null,"Poliestere 97%, Elastan 3%",Blu,2252,https://www2.hm.com/it_it/productpage.1108087001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2844,0,top,Magliette e Top,H&M,top a spalle scoperte,24.99,Null,"Poliestere 97%, Elastan 3%",Arancione,2252,https://www2.hm.com/it_it/productpage.1108087001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2845,0,top,Magliette e Top,H&M,h&m+ top a coste,14.99,Null,"Cotone 95%, Elastan 5%",Nero,2254,https://www2.hm.com/it_it/productpage.1118382001.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2846,0,top,Magliette e Top,H&M,top corto a spalle scoperte,19.99,Null,"Poliestere 99%, Elastan 1%",Bianco,2261,https://www2.hm.com/it_it/productpage.1133468001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2847,0,top,Magliette e Top,H&M,maglia senza cuciture,14.99,Null,"Poliammide 92%, Elastan 8%",Nero,2264,https://www2.hm.com/it_it/productpage.1051540005.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliammide
2848,0,top,Magliette e Top,H&M,maglia senza cuciture,14.99,Null,"Poliammide 92%, Elastan 8%",Viola,2264,https://www2.hm.com/it_it/productpage.1051540005.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliammide
2849,0,top,Magliette e Top,H&M,maglia senza cuciture,14.99,Null,"Poliammide 92%, Elastan 8%",Verde,2264,https://www2.hm.com/it_it/productpage.1051540005.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliammide
2850,0,top,Magliette e Top,H&M,h&m+ maglia serafino a costine,12.99,Null,"Cotone 95%, Elastan 5%",Rosa,2265,https://www2.hm.com/it_it/productpage.1018664003.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2851,0,top,Magliette e Top,H&M,top corto con sezioni aperte,9.99,Null,"Cotone 95%, Elastan 5%",Bianco,2270,https://www2.hm.com/it_it/productpage.0985757002.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2852,0,top,Magliette e Top,H&M,top corto con sezioni aperte,9.99,Null,"Cotone 95%, Elastan 5%",Nero,2270,https://www2.hm.com/it_it/productpage.0985757002.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
