,Unnamed: 0,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acrilico,Alluminio,Altre_fibre,Cashmere,Cotone,Cuoio,Lana,Lino,Lyocell,Modal,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Materiale
67,68,0,abiti,Vestiti,H&M,abito in felpa,17.99,Null,Cotone 100%,Beige,2133,https://www2.hm.com/it_it/productpage.1083590004.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
68,69,0,abiti,Vestiti,H&M,maxiabito in chiffon,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Beige,2134,https://www2.hm.com/it_it/productpage.1019040002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
69,70,0,abiti,Vestiti,H&M,chemisier corto,49.99,Null,Cotone 100%,Marrone,2135,https://www2.hm.com/it_it/productpage.1072963002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
70,71,0,abiti,Vestiti,H&M,abito a caftano in satin,59.99,41.99,Viscosa 100%,Giallo,2139,https://www2.hm.com/it_it/productpage.1093256001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
71,72,0,abiti,Vestiti,H&M,abito a caftano in satin,59.99,Null,Viscosa 100%,Arancione,2139,https://www2.hm.com/it_it/productpage.1093256001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
72,73,0,abiti,Vestiti,H&M,abito a caftano in satin,59.99,Null,Viscosa 100%,Nero,2139,https://www2.hm.com/it_it/productpage.1093256001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
73,74,0,abiti,Vestiti,H&M,chemisier in denim,29.99,Null,Cotone 100%,Blu,2140,https://www2.hm.com/it_it/productpage.1023490004.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
74,75,0,abiti,Vestiti,H&M,chemisier in denim,29.99,Null,Cotone 100%,Blu,2140,https://www2.hm.com/it_it/productpage.1023490004.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
75,76,0,abiti,Vestiti,H&M,abito a incrocio plissettato,39.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Beige,2145,https://www2.hm.com/it_it/productpage.1122119001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
76,77,0,abiti,Vestiti,H&M,abito con pizzo e maniche a palloncino,59.99,Null,Cotone 100%,Nero,2146,https://www2.hm.com/it_it/productpage.1088891001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
77,78,0,abiti,Vestiti,H&M,abito arricciato in tulle,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2150,https://www2.hm.com/it_it/productpage.1110468001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
78,79,0,abiti,Vestiti,H&M,abito arricciato in tulle,29.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Verde,2150,https://www2.hm.com/it_it/productpage.1110468001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
79,80,0,abiti,Vestiti,H&M,abito arricciato in tulle,29.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2150,https://www2.hm.com/it_it/productpage.1110468001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
80,81,0,abiti,Vestiti,H&M,abito con cut-out e torchon,24.99,Null,Viscosa 100%,Rosso,2154,https://www2.hm.com/it_it/productpage.1100164003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
81,82,0,abiti,Vestiti,H&M,abito con cut-out e torchon,24.99,Null,Viscosa 100%,Beige,2154,https://www2.hm.com/it_it/productpage.1100164003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
82,83,0,abiti,Vestiti,H&M,h&m+ abito lungo in chiffon,34.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2160,https://www2.hm.com/it_it/productpage.1112342006.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
83,84,0,abiti,Vestiti,H&M,abito corto cut-out,29.99,8.99,Esterno: Poliestere 100%,Beige,2162,https://www2.hm.com/it_it/productpage.1036208001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
84,85,0,abiti,Vestiti,H&M,abito svasato crêpe,29.99,Null,Viscosa 100%,Giallo,2163,https://www2.hm.com/it_it/productpage.1088604001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
85,86,0,abiti,Vestiti,H&M,abito a spalle scoperte,29.99,11.99,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Nero,2164,https://www2.hm.com/it_it/productpage.1079832005.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
86,87,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Cotone 100%,Blu,2166,https://www2.hm.com/it_it/productpage.1059521002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
87,88,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Cotone 100%,Beige,2166,https://www2.hm.com/it_it/productpage.1059521002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
88,89,0,abiti,Vestiti,H&M,abito in viscosa,59.99,Null,Viscosa 100%,Rosa,2181,https://www2.hm.com/it_it/productpage.1116118001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
89,90,0,abiti,Vestiti,H&M,abito increspato con incrocio e volant,44.99,Null,Viscosa 100%,Rosa,2188,https://www2.hm.com/it_it/productpage.1106392001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
90,91,0,abiti,Vestiti,H&M,abito svasato in cotone,19.99,8.99,Cotone 100%,Beige,2197,https://www2.hm.com/it_it/productpage.1058984002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
91,92,0,abiti,Vestiti,H&M,abito svasato in cotone,19.99,9.99,Cotone 100%,Arancione,2197,https://www2.hm.com/it_it/productpage.1058984002.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
